stage-name,dow,bname,gname,gender,dob,dod,role type,picture pointer,notes,award,,,,
Robert Conrad,1963-1982,Falk,Conrad Robert,M,1935,199x,R:personable,Am,,,,,,
William Conrad,1946-1982,Conrad,William,M,1920,199x,R:unpleasant villain,Am,,,,,,
Hans Conried,1937-1973,Conried,Hans,M,1917,1982,R:precise diction,Am,,,,,,
Frank Conroy,1930-1959,Conroy,Frank,M,1890,1964,R:domestic tyrant,Br,,,,,,
John Considine,1976-1983,,,M,[1][23],199x,RU:,Un,,,,,,
Tim Considine,1976,,,M,[1][23],199x,RU:,Un,,,,,,
Michel Constantin,,,,M,[1],199x,RU:,Un,,,,,,
Richard Conte,1940-1975,Conte,Richard,M,1914,1975,R:gangster,Am,,,,,,
Mario Conti,,,,M,[1],199x,RU:,Un,,,,,,
Tom Conti,1974-1997,Conti,Tom,M,1945,199x,R:saturnine,Br,,,,,,
Frank Converse,1967-1978,Converse,Frank,M,1938,199x,R:general purpose,Am,,,,,,
Bert Convy,1972-1981,Convy,Bert,M,1932,1991,R:ex-baseball player, musician,Am,,,,,
Gary Conway,1957-1977,Carmody,Gareth,M,1938,199x,R:light lead,Am,,,,,,
Morgan Conway,1934-1946,Conway,Morgan,M,1903,1981,R:tough-guy,Am,,,,,,
Tim Conway,1964-1970,Conway,Tim,M,1933,199x,R:Disney films,Am,,,,,,
Carolyn Conwell,,,,F,[1],199x,RU:,Un,,,,,,
Jackie Coogan,1920-1982,Coogan,Jackie,M,1914,1984,R:child actor,Am,,,,,,
Clyde Cook,1919-1951,Cook,Clyde,M,1891,199x,R:character,Au,,,,,,
Elisha Cook jr.,1930-1982,Cook,Elisha Jr.,M,1902,199x,R:neurotic cowards,Am,,,,,,
Fielder Cook,1956-1977,Cook,Fielder,M,1923,199x,RU:,Am,,,,,,
Perry Cook,,,,M,[1],199x,RU:,Un,,,,,,
Peter Cook,1966-1983,Cook,Peter,M,1937,199x,R:cabaret comedian,Br,,,,,,
Ron Cook,1986,Cook,Ron,M,[1],199x,RU:,Un,,,,,,
Alice Cooper,,,,F,[1],199x,RU:,Un,,,,,,
Gary Cooper,1925-1961,Cooper,Frank J.,M,1901,1961,R:honest, playboy,Am,,,,,
Dame Gladys Cooper,1917-1969,Cooper,Dame Gladys,F,1888,1971,R:distinguished, gracious,Br,,,,,
Jackie Cooper,1927-1983,Cooper,Jackie,M,1921,199x,R:little tough guy, cute,Am,,,,,
Melville Cooper,1931-1958,Cooper,Melville,M,1896,1973,R:comedy character,Br,,,,,,
Miriam Cooper,1911-1923,Cooper,Miriam,F,1900,199x,R:silent screen,Am,,,,,,
Terrec Cooper,,,,M,[1],199x,RU:,Un,,,,,,
Robert Coote,1931-1973,Coote,Robert,M,1909,1982,R:character,Br,,,,,,
Francis Ford Coppola,1963-1983,Coppola,Francis,M,1939,199x,RU:,Am,,,,,,
Sofia Coppola,1990,Coppola,Sofia,F,,199x,RU:,Am,,,,,,
Gretchen Corbett,1970-1980,Corbett,Gretchen,F,1947,199x,R:character,Am,,,,,,
Harry H. Corbett,1957-1972,Corbett,Harry,M,1925,1982,R:tough guy, maniac,Br,,,,,
Barry Corbin,,,,M,[1],199x,RU:,Un,,,,,,
Ellen Corby,1946-1981,Hansen,Ellen,F,1913,1999,R:nosy neighbor, prim spinster,Am,,,,,
Kevin Corcoran,1955-1965,Corcoran,Kevin,M,1949,199x,R:child actor,Am,,,,,,
Alex Cord,1965-1977,Viespi,Alexander,M,1931,199x,R:lead,It-Am,,,,,,
Lola Cordova,1990,Cordova,Lola,F,,199x,RU:,Sp,,,,,,
Raymond Cordy,1931-1955,Cordiaux,R,M,1898,1956,R:comedy,Fr,,,,,,
Irwin Corey,,,,M,[1],199x,RU:,Un,,,,,,
Jeff Corey,1941-1979,Corey,Jeff,M,1914,199x,R:gamer, ganster, junkie, wino, convict, convict, cop,Am
Wendell Corey,1947-1968,Corey,Wendell,M,1914,1968,R:solid dependable,Am,,,,,,
Roger Corman,,Corman,Roger,M,1926,199x,RU:,Un,,,,,,
Judy Cornwell,,,,F,[1],199x,RU:,Un,,,,,,
Adrienne Corri,1951-1974,Riccobonii,Adrienne,F,1930,199x,R:tempestuous,Br,,,,,,
Douglas `Wrong Way' Corrigan,1939-1939,Corrigan,Douglas,M,1907,199x,RU:,Am,,,,,,
Lloyd Corrigan,1925-1962,Corrigan,Lloyd,M,1900,1969,R:chubby, jovial,Am,,,,,
Salvatore Corsitto,,,,M,[1],199x,RU:,Un,,,,,,
Bud Cort,1970-1983,Cort,Bud,M,1950,199x,R:demented youth,Am,,,,,,
Valentina Cortesa,1948-1980,Cortesa,Valentina,F,1924,199x,R:lead,It,,,,,,
Joseph Cortese,,,,M,[1],199x,RU:,Un,,,,,,
Ricardo Cortez,1923-1958,Cortez,Ricardo,M,1899,1977,R:Latin lover,Am,,,,,,
Nicholas Cortland,,,,M,[1],199x,RU:,Un,,,,,,
Henry Cory,,,,M,[1],199x,RU:,Un,,,,,,
Wendell Cory,,,,M,[1],199x,RU:,Un,,,,,,
Cybil Cosack,,,,F,[1],199x,RU:,Un,,,,,,
Ernest Cosart,,,,M,[1],199x,RU:,Un,,,,,,
Bill Cosby,1971-1990,Cosby,Bill,M,1938,199x,R:funny, but wise,Am,,,,,
Howard Cosell,1956,Howard,Cosell,M,1919,199x,R:gravel-voiced commentator,Am,,,,,,
Rich Cosentino,,,,M,[1],199x,RU:,Un,,,,,,
James Cossins,1968-1971,Cossins,James,M,1933,199x,R:character,Br,,,,,,
Caroline `Tula' Cossey,1981-1990,Cossey,,M,F,1955,199x,R:sexy,Am,,,,,
Desiree Costeau,1974,,Desirée,F,[1],199x,R:porn star,,,,,,,
Dolores Costello,1923-1943,Costello,Dolores,F,1905,1979,R:silent screen heroine,,,,,,,
Helene Costello,1925-1928,Costello,Helene,F,1904,1957,R:silent screen lead,Am,,,,,,
Lou Costello,1959-1959,Costello,Lou,M,1906,1959,R:zany comedian,Am,,,,,,
Kevin Costner,1989-1990,Costner,Kevin,M,1955,199x,RU:,Un,,,,,,
Joseph Cotten,1941-1982,Cotten,Joseph,M,1905,1994,R:quiet lead,Am,,,,,,
George Coulouris,1933-1980,Coulouris,George,M,1903,1989,R:explosive roles,Br,,,,,,
Carolyn Courage,,,,F,[1],199x,RU:,Un,,,,,,
Hazel Court,1944-1964,Court,Hazel,F,1926,199x,R:scary beauty,Br,,,,,,
Tom Courtenay,1963-1983,Courtenay,Tom,M,1937,199x,R:under-privleged roles,Br,,,,,,
Cicely Courtneige,1931-1941,Courtneige,Dame Cicely,F,19aa,199x,R:sr,Ct,,,,,,
Maggie CousineauArndt,,,,F,[1],199x,RU:,Un,,,,,,
Jerome Cowan,1941-1969,Cowan,Jerome,M,1897,1972,R:easy manner,Am,,,,,,
Herbert `Cowboy' Coward,,,,M,[1],199x,RU:,Un,,,,,,
Noel Coward,1918-1969,Coward,Sir Noel,M,1899,1973,R:bright,Br,,,,,,
Ronny Cox,1972-1974,Cox,Ronny,M,1938,199x,R:character,Am,,,,,,
Ruth Cox,,,,F,[1],199x,RU:,Un,,,,,,
Wally Cox,1952-1968,Cox,Wally,M,1924,1973,R:bespectacled, weedy,Am,,,,,
Peter Coyote,,,,M,[1],199x,RU:,Un,,,,,,
Buster Crabbe,1933-1955,Crabbe,Clarence Linden,M,1907,1983,R:lead,Am,,,,,,
Donald Crabtree,,,,M,[1],199x,RU:,Un,,,,,,
James Craig,1937-1967,Meador,John,M,1912,199x,R:good-natured tough outdoor type,Am,,,,,,
Michael Craig,1953-1977,Gregson,Michael,M,1928,199x,R:light lead,Br,,,,,,
Wendy Craig,1963-1977,Craig,Wendy,F,1934,199x,R:comedy,Br,,,,,,
Jack Crain,,,,M,[1],199x,RU:,Un,,,,,,
Jeanne Crain,1943-1972,Crain,Jeanne,F,1925,199x,R:sweet and light,Am,,,,,,
Grant Cramer,,,,M,[1],199x,RU:,Un,,,,,,
Norma Crane,,,,F,[1],199x,R:floozy,Un,,,,,,
Nick Cravat,1951-1977,Cravat,Nick,M,1911,199x,R:small, agile,Am,,,,,
Frank Craven,1928-1945,Craven,Frank,M,1875,1945,R:kindly pope-smoking philosopher,Am,,,,,,
Gemma Craven,1976-1979,Craven,Gemma,F,1950,199x,R:lead,Ir,,,,,,
Andrew Crawford,1946-1961,Crawford,Andrew,M,1917,199x,R:character,Br(Sc),,,,,,
Broderick Crawford,1937-1970,Crawford,Broderick,M,1910,1986,R:character,Am,,,,,,
Joan Crawford,1925-1969,leSueur,Lucille,F,1906,1977,R:flapper, career girl, repressed older woman,Am,,,,
John Crawford,1950-1964,Crawford,John,Mm,,199x,R:forgettable,Am,,,,,,
Michael Crawford,1950-1979,Crawford,Michael,M,1942,199x,R:lively,Br,,,,,,
Laird Cregar,1940-1940,Cregar,Laird,M,1916,1944,R:heavyweight,Am,,,,,,
Plett Creighton,,,,M,[1],199x,RU:,Un,,,,,,
Jack Creley,,,,M,[1],199x,RU:,Un,,,,,,
Richard Crenna,1952-1983,Crenna,Richard,M,1926,199x,R:lead,Am,,,,,,
Robert Crenna,,,,M,[1],199x,RU:,Un,,,,,,
Laura Hope Crews,1929-1941,Crews,Laura Hope,F,1880,1942,R:character,Am,,,,,,
Bernard Cribbins,1960-1978,Cribbins,Bernard,M,1928,199x,R:comedy character,Un,,,,,,
Michael Crichton,WAD,MiC,y1973-1981,Crichton,Michael,,R:UN,Br,,,,,,
Lou Crisoula,,,,M,[1],199x,RU:,Un,,,,,,
Donald Crisp,1914-1963,Crisp,Donald,M,1880,1974,R:stern character,Br,,,,,,
Linda Cristal,1956-1971,Maya,Victoria,F,1936,199x,R:lead,Ar(gentina),,,,,,
Barry Crocker,1969-1974,Crocker,Barry,M,,199x,R:lead,Au,,,,,,
Dick Crockett,,,,M,[1],199x,RU:,Un,,,,,,
Richard Cromwell,1930-1942,Radebaugh,Roy,M,1910,1960,R:gentle hero,Am,,,,,,
Hume Cronyn,1943-1981,Blake,Hume,M,1911,199x,R:character,Ca,,,,,,
Bing Crosby,1930-1970,Crosby,Harry Lillis,M,1904,1977,R:crooner,Am,,,,,,
Cathy Lee Crosby,,,,F,[1],199x,RU:,Un,,,,,,
Harry Crosby,1980,Crosby,Harry,M,[1],199x,RU:,Un,,,,,,
Kim Crosby,1989,,,F,[1],199x,R:roundfaced,Un,,,,,,
Lindsay Crosby,,,,M,1938[1],199x,RU:,Un,,,,,,
Mary Crosby,,,,F,[1],199x,RU:,Un,,,,,,
Henrietta Crosman,1914-1937,Crosman,Henrietta,F,1861,1944,RU:,Am,,,,,,
Ben Cross,1981-1991,Cross,Ben,M,1948,199x,R:lugubrious countenance,Br,,,,,,
Rupert Crosse,1968-1968,Crosse,Rupert,M,1927,1973,RU:,Am,,,,,,
Scatman Crothers,1956-1983,Crothers,Scatman,M,,1986,R:comedy,Am,,,,,,
Lindsay Crouse,1990,,,F,[1],199x,R:capable,Am,,,,,,
Pat Crowley,1953-1975,Crowley,Pat,F,1929,199x,R:lead,Am,,,,,,
Andrew Cruickshank,1937-1966,Cruickshank,Andrew,M,1907,1988,R:doctor or judge,Br(Sc),,,,,,
Tom Cruise,1981-1989,Mapother,Tom Cruise IV,M,1961,199x,R:hero,Am,,,,,,
Rosalie Crutchley,1947-1972,Crutchley,Rosalie,F,1921,199x,R:lean-featured,Br,,,,,,
James Cruze,1911-1918,Bosen,Jens Cruz,M,1884,1942,R:silent screen,Da-Am,,,,,,
Billy Crystal,1977-1992,Crystal,Billy,M,1948,199x,R:likable,Am,,,,,,
Riccardo Cucciola,1965-1971,Cucciola,Riccardo,M,1932,199x,R:lead,It,,,,,,
Macaulay Culkin,1989-1993,Culkin,Macaulay,M,1980,199x,R:imaginative child,Am,,,,,,
Kieran Culkin,1993,Culkin,Kieran,M,1982,199x,R:child,Am,,,,,,
John Cullum,,,,M,[1],199x,RU:,Un,,,,,,
Robert Culp,1962-1982,Culp,Robert,M,1930,199x,R:lead,Am,,,,,,
Roland Culver,1932-1978,Culver,Roland,M,1900,1984,R:impeccable, comic,Br,,,,,
Dorothy Cumming,1927-1927,Cors.,Ruth Cumming,F,[1],199x,R:solid, Spanish,Am,,,,,
Constance Cummings,1931-1963,Halverstadt,Constance,M,1910,199x,RU:,Am,,,,,,
Bob Cummings,1935-1973,Cummings,Robert,M,1908,1990,R:boyish,Am,,,,,,
Quinn Cummings,1980,,,M,[1],199x,RU:,Un,,,,,,
Susan Cummings,1955,,,F,[1],199x,RU:,Un,,,,,,
Peggy Cummins,1948,,,F,[1],199x,RU:,Un,,,,,,
Cecil Cunningham,1929-1948,Cunningham,Cecil,F,1888,1959,R:hard or wisecracking,Am,,,,,,
John Cunningham,,,,M,[1],199x,RU:,Un,,,,,,
Alain Cuny,1942-1980,Cuny,Alain,M,1908,1994,R:tall, imposing,Fr,,,,,
Lee Curreri,,,,,[1],199x,RU:,Un,,,,,,
Finlay Currie,1932-1965,Jefferson,Finlay,M,1878,1968,RU:,Br(Sc),,,,,,
Michael Currie,,,,M,[1],199x,RU:,Un,,,,,,
Sondra Currie,,,,F,[1],199x,RU:,Un,,,,,,
Steve Curry,,,,M,[1],199x,RU:,Un,,,,,,
Tim Curry,1974-1983,Curry,Tim,M,1946,199x,R:wide-range,Br,,,,,,
Jane Curtin,,,,F,[1],199x,RU:,Un,,,,,,
Valerie Curtin,,,,F,[1],199x,RU:,Un,,,,,,
Alan Curtis,1936-1950,Curtis,Alan,M,1909,1953,R:lead,Am,,,,,,
Jamie Lee Curtis,1978-1988,Curtis,Jamie Lee,F,1958,199x,RU:,Am,,,,,,
Kelly Curtis,1990,Curtis,Kelly,F,,199x,R:lesbian,Am,,,,,,
Ken Curtis,1945-1976,Curtis,Ken,M,1916,199x,R:character,Am,,,,,,
Tony Curtis,1949-1978,Schwarz,Bernard,M,1925,199x,R:bouncy, lead,Am,,,,,
George Curzon,1932-1958,Curzon,George,M,1896,1976,R:aristocratic, sinister roles,Br,,,,,
Cyril Cusack,1947-1981,Cusack,Cyril,M,1910,199x,R:dimimutive,Ir,,,,,,
Peter Cushing,1939-1983,Cushing,Peter,M,1913,1994,R:monster roles,Br,,,,,,
Allan Cuthbertson,1955-1983,Cuthbertson,Allan,M,1920,1988,R:supercilious roles,Au,,,,,,
Zbigniew Cybulski,1954-1965,Cybulski,Zbigniew,M,1927,1967,R:lead,Po,,,,,,
Maryam DAbo,1982-1987,D'Abo,Maryam,F,[1],199x,RU:,Un,,,,,,
Olivia DAbo,1984-1994,D'Abo,Olivia,F,1970,199x,RU:,Si(Si(Maryam dAbo)),,,,,,
Willem Dafoe,1985-1990,Dafoe,Willem,M,[1],199x,RU:,Un,,,,,,
Lil Dagover,1919,Dagover,gn,F,,1980,R:silent,Ct,,,,,,
Arlene Dahl,1947-1969,Dahl,Arlene,Ff,1924,199x,R:lead,Ge,,,,,,
Eva Dahlbeck,1952-1969,Dahlbeck,Eva,F,1920,199x,RU:,Sw,,,,,,
Dan Daily,1940-1973,Daily,Dan,M,1914,1978,R:lanky,Am,,,,,,
Elizabeth Daily,,,,F,[1],199x,RU:,Un,,,,,,
Irene Daily,,,,F,[1],199x,RU:,Un,,,,,,
Amy Dalby,1945-1967,Dalby,Amy,F,1888,1969,R:character,Br,,,,,,
Charles Dale,1931-1951,Marks,Charles,M,1881,199x,R:vaudevillain,Am,,,,,,
Jennifer Dale,,,,F,[1],199x,RU:,Un,,,,,,
Jim Dale,1962-1979,Smith,James,M,1935,1985,R:singer, comic,Br,,,,,
Marcel Dalio,1937-1965,Bleuschild,Marcel Benoit,M,1900,1983,R:comedy,Fr,,,,,,
John Dall,1945-1961,Dall,John,M,1918,1971,R:lead,Am,,,,,,
Beatrice Dalle,1988,Dalle,Béatrice,,,199x,R:steamy,Fr,,,,,,
Timothy Dalton,1968-1981,Dalton,Timothy,M,1944,199x,R:saturnine,Br,,,,,,
Roger Daltrey,1974-1980,Daltrey,Roger,M,1944,199x,R:dramatic,Br,,,,,,
James Daly,1955-1975,Daly,James,M,1918,1978,RU:,Am,,,,,,
Tyne Daly,1969-1982,Daly,Tyne,F,1947,199x,R:lead,Am,,,,,,
Mark Damon,1956,Doman,Mark,M,,199x,R:vengeful lead,Am,,,,,,
Vic Damone,1951-1960,Farinola,Vito,M,1929,199x,R:light lead,Am,,,,,,
Claude Dampier,1935-1953,Cowan,Claude,M,1879,1955,R:nasal drawl, country yokel,Br,,,,,
Bill Dana,1977-1981,Dana,Bill,M,,199x,R:comedian,Am,,,,,,
Leona Dana,,,,F,,199x,RU:,Un,,,,,,
Leora Dana,1957-1982,Dana,Leora,F,1923,1983,R:general purpose,Am,,,,,,
Mara Danaud,,,,F,[1],199x,RU:,Un,,,,,,
Charles Dance,,,,M,[1],199x,RU:,Un,,,,,,
Tom dAndrea,1947,d'Andrea,Tom,M,,199x,R:cabbie,,,,,,,
Dorothy Dandridge,1937-1960,Dandridge,Dorothy,F,1923,1965,R:lead,Am,,,,,,
Karl Dane,1925-1930,Daen,Karl,M,1886,1934,R:lanky, character,Da,,,,,
Beverly D'Angelo,1978-1981,D'Angelo,Beverly,F,1854,199x,R:lead,Am,,,,,,
Mirella D'Angelo,,,,F,[1],199x,RU:,Un,,,,,,
Rodney Dangerfield,,,,M,[1],199x,RU:,Un,,,,,,
Henry Daniell,1929-1964,Daniell,Henry,M,1894,1963,R:incisive, cold-eyed,Br,,,,,
Suzanne Danielle,,,,F,[1],199x,RU:,Un,,,,,,
Anthony Daniels,,,,M,[1],199x,RU:,Un,,,,,,
Bebe Daniels,1919-1955,Daniels,Virginia,F,1901,1971,R:silent, lead,Am,,,,,
Jeff Daniels,,,,M,[1],199x,RU:,Un,,,,,,
William Daniels,1949-1982,Daniels,William,M,1927,199x,R:dapper,Am,,,,,,
Blythe Danner,1970-1983,Danner,Blythe,F,1945,199x,R:young,Am,,,,,,
Sybil Danning,,,,F,[1],199x,RU:,Un,,,,,,
Royal Dano,1949-1983,Dano,Royal,M,1922,1944,R:lanky cowboys, villains,Am,,,,,
Ted Danson,1979-1989,Danson,Ted,M,1952,199x,R:tall, craggy,Am,,,,,
Michael Dante,1958-1977,Vitti,Ralph,M,1931,199x,R:villain,Am,,,,,,
Helmut Dantine,1941-1974,Dantine,Helmut,M,1917,1982,R:lean,Os,,,,,,
Ray Danton,1952-1974,Danton,Ray,M,1931,199x,R:lead,Am,,,,,,
Tony Danza,,,,,[1],199x,RU:,Un,,,,,,
Patti D'Arbanville,,,,F,[1],199x,RU:,Un,,,,,,
Kim Darby,1965-1979,Zenby,Deborah,F,1947,199x,R:lead,Am,,,,,,
Denise Darcel,1948-1962,Billecard,Denise,F,1925,199x,R:lead,Am,,,,,,
Alex D'Arcy,1928-1971,Sarruf,Alexander,M,1908,199x,R:light international,Eg,,,,,,
Ruth Dardick,,,,F,[1],199x,RU:,Un,,,,,,
Frank Darien,,,,M,[1],199x,RU:,Un,,,,,,
Bobby Darin,1960-1969,Cassotto,Walden Robert,M,1936,1973,R:pop singer,Am,,,,,,
Linda Darnell,1939-1965,Darnell,Monetta Eloisa,F,1921,1965,R:beauty,Am,,,,,,
James Darren,1956-1964,Ercolani,James,M,1936,199x,R:lead,Am,,,,,,
Danielle Darrieux,1931-1979,Darrieux,Danielle,F,1917,199x,R:vivacious,Fr,,,,,,
Jane Darwell,1914-1964,Woodward,Patti,F,1880,1967,R:strong and warm mother,Am,,,,,,
Howard daSilva,1939-1981,Siverblatt,Harold,M,1909,1986,R:tough, suspicious-looking,Am,,,,,
Jules Dassin,1954-1960,Dassin,Jules,M,1911,199x,RU:,Am,,,,,,
Jean Daste,,,,,[1],199x,RU:,Un,,,,,,
Claude Dauphin,1938-1976,Dauphin,Claude,M,1903,1978,R:dapper,Fr,,,,,,
Elyssa Davalos,,,,F,[1],199x,RU:,Un,,,,,,
Doris Davenport,,,,F,[1],199x,RU:,Un,,,,,,
Harry Davenport,1930-1950,Davenport,Harry,M,1866,1949,R:chuclesome, benevolent old man,Am,,,,,
Nigel Davenport,1959-1979,Davenport,Nigel,M,1928,199x,R:breezy, virile,Br,,,,,
Thayer David,1958-1978,David,Thayer,M,1926,1978,R:character,Am,,,,,,
Eileen Davidson,,,,F,[1],199x,RU:,Un,,,,,,
John Davidson,1915-1963,Davidson,John,M,1886,1969,R:piercing-eyed, white-haired villain,,,,,,
William B. Davidson,1917-1947,Davidson,William B.,M,1888,1947,R:character,Am,,,,,,
John Howard Davies,1948-1951,Davies,John Howard,M,1939,199x,R:child,Am,,,,,,
Lolita Davidovitch,1989,Davidovich,Lolita,F,,199x,R:juicy,Ca,,,,,,
Marion Davies,1917-1937,Douras,Marion,F,1897,1961,R:lead,Am,,,,,,
Rupert Davies,1958-1971,Davies,Rupert,M,1916,1976,R:character,Br,,,,,,
Bette Davis,1931-1983,Davis,Ruth Elizabeth,F,1908,1989,R:inimitably intense,Am,,,,,,
Brad Davis,1977-1981,Davis,Brad,M,1950,1991,R:lead,Am,,,,,,
Clifton Davis,,,,M,[1],199x,RU:,Un,,,,,,
Geena Davis,1993,,,F,[1],199x,R:smart,Am,,,,,,
Gene Davis,,,,M,[1],199x,RU:,Un,,,,,,
Jim Davis,1942-1980,Davis,Jim,M,1915,1981,R:burly,Am,,,,,,
Joan Davis,1935-1956,Davis,Joan,F,1907,1961,R:rubber-faced,Am,,,,,,
Judy Davis,1979-1984,Davis,Judy,F,1956,199x,R:round-faced,Au,,,,,,
Larry Davis,,,,M,[1],199x,RU:,Un,,,,,,
Lyndon Davis,,,,M,[1],199x,RU:,Un,,,,,,
Mac Davis,,,,M,[1],199x,RU:,Un,,,,,,
Miles Davis,,,,M,[1],199x,RU:,Un,,,,,,
Nancy Davis,1950-1959,Robbins,Anne Frances,F,1956,199x,R:lead,Am,,,,,,
Ossie Davis,1950-1979,Davis,Ossie,M,1917,199x,R:massive presence,Am,,,,,,
Phyllis Davis,,,,F,[1],199x,RU:,Un,,,,,,
Roger Davis,,,,M,[1],199x,RU:,Un,,,,,,
Sammy Davis jr.,1958-1882,Davis,Samuel,M,1925,1990,R:energetic, `one-eyed Jewish Negro',Am,,,,,
Sonny Carl Davis,,,,M,[1],199x,RU:,Un,,,,,,
Bruce Davison,1969-1981,Davison,Bruce,M,1948,199x,R:slightly-built,Am,,,,,,
Marjorie Daw,,,,M,[1],199x,RU:,Un,,,,,,
Marpessa Dawn,,,,F,[1],199x,RU:,Un,,,,,,
Anthony Dawson,1945-1963,Dawson,Anthony,M,1916,199x,R:lean-faced,Br,,,,,,
Clayton Day,,,,M,[1],199x,RU:,Un,,,,,,
Dennis Day,1951-1959,Day,Dennis,M,,1988,R:sr,Ct,,,,,,
Doris Day,1948-1968,Kappelhoff,Doris,F,1924,199x,R:wholesome,Am,,,,,,
Frances Day,1927-1957,Day,Frances,F,1908,199x,R:revue star,Ge(Ru),,,,,,
Josette Day,1932-1950,Day,Josette,F,1914,1978,R:lead,Fr,,,,,,
Laraine Day,1937-1978,Johnson,Laraine,F,1917,199x,R:lead,Am,,,,,,
Lawrence Day,,,,M,[1],199x,RU:,Un,,,,,,
Marceline Day,,,,F,[1],199x,RU:,Un,,,,,,
Daniel DayLewis,1986-1989,Day-Lewis,Daniel,M,1957,199x,R:intense,Ir,,,,,,
Brian Deacon,,,,M,[1],199x,RU:,Un,,,,,,
Richard Deacon,1955-1978,Deacon,Richard,M,1923,199x,R:bald, bespectacled, comic snoops,Am,,,,
Isabel Dean,1947-1982,Hodgkinson,Isabel,F,1918,199x,R:upper-class roles,Br,,,,,,
Jimmy Dean,1951-1956,Dean,James,M,1931,1955,R:moody,Am,,,,,,
Laura Dean,,,,F,[1],199x,RU:,Un,,,,,,
Darcia Deane,,,,F,[1],199x,RU:,Un,,,,,,
Maria DeAragon,,,,F,[1],199x,RU:,Un,,,,,,
Brenda deBanzie,1942-1967,deBanzie,Brenda,F,1915,1981,R:lead,Br,,,,,,
Kristine DeBell,,,,F,[1],199x,RU:,Un,,,,,,
John DeBello,,,,M,[1],199x,RU:,Un,,,,,,
Yvonne deBray,1943-1952,DeBray,Yvonne,F,1889,1954,R:character,Am,,,,,,
Nigel deBrulier,1916-1948,deBrulier,Nigel,M,1878,1948,R:silent star,Br,,,,,,
Rosemary de Camp,1941-1981,Camp,Rosemary,F,1913,199x,R:active motherly types,Am,,,,,,
Yvonne deCarlo,1945-1982,Middleton,Peggy,F,1922,199x,R:outrageous,Ca,,,,,,
Jeanne DeCasalis,1941-1948,Casalis,Jeanne,F,1896,1966,R:character,Br,,,,,,
Pedro DeCordoba,1915-1950,DeCordoba,Pedro,M,1881,1950,R:lean, sinister,Am,,,,,
Arturo deCordova,1943-1953,Garcia,Arturo,M,1908,1973,R:flashing impudent,Me,,,,,,
Ted DeCorsia,1947-1968,DeCorsia,Ted,M,1904,1973,R:surly villain,Am,,,,,,
Frances Dee,1931-1954,Dee,Jean,F,1908,199x,R:lead,Am,,,,,,
Ruby Dee,1950-1982,Dee,Ruby,F,1923,199x,R:black character,Am,,,,,,
Sandra Dee,1957-1977,Zuck,Alexandra,F,1942,199x,R:petite,Am,,,,,,
Ermelinda deFelice,,,,F,[1],199x,RU:,Un,,,,,,
Eduardo DeFilippo,1932-1966,Passarelli,Eduardo,M,1900,1984,RU:,It,,,,,,
Luca DeFilippo,1990,Passarelli,Luca,M,,199x,RU:,It,,,,,,
Peppino DeFillippo,1950,Passarelli,Peppino,M,,199x,R:comic,It,,,,,,
Willem Defoe,,,,M,[1],199x,RU:,Un,,,,,,
Don Defore,1942-1961,Defore,Don,M,1917,199x,R:hearty westerner,Am,,,,,,
Louis deFunes,1956-1980,de Funès,Louis,M,1908,1983,R:choleric comedian,Fr,,,,,,
Pia Degermark,1967-1971,Degermark,Pia,F,1949,199x,R:lead,Sw,,,,,,
Nicholas DeGunzberg,1932,West,Julian,M,,199x,R:sr,Da nish,,,,,,
Gloria deHaven,1936-1979,de Haven,Gloria,F,1924,199x,R:sweet,Am,,,,,,
Olivia deHavilland,1935-1982,de Havilland,Olivia,F,1916,R:UN,romantic,Br,,,,,,
John Dehner,1945-1977,Forkum,John,M,1915,199x,R:sympathetic smart alec, dastardly villain,,,,,,
Albert Dekker,1937-1969,Dekker,Albert,M,1905,1968,RU:,Am-Du,,,,,,
Frank deKova,,,,M,[1],199x,RU:,Un,,,,,,
Marguerite DeLaMotte,1920-1942,De La Motte,Marguerite,F,1903,1950,R:lead,Am,,,,,,
Suzy Delair,1947-1966,Delair,Suzy,F,1916,199x,R:voluptuous, vivacious,Fr,,,,,
Cyril Delevanti,1964-1973,Delevanti,Cyril,M,1887,1975,R:aged gentlemen,Br,,,,,,
Alain Delon,1959-1980,Delon,Alain,M,1935,199x,R:romantic,Fr,,,,,,
Daniele Delorme,1948-1977,Girard,Gabrielle,F,1926,199x,R:lead,Fr,,,,,,
Carla DelPoggio,1950,DelPoggio,Carla,F,,199x,RU:,It,,,,,,
Julie Delpy,1988-1989,Delpy,Julie,F,1969,199x,RU:,Fr,,,,,,
Dolores delRio,1925-1967,Asunsolo,Dolores,F,1905,1983,R:aristocratic,Me,,,,,,
Dom DeLuise,1965-1983,De Luise,Dom,M,1933,199x,R:rotund,Am,,,,,,
Robert Deman,,,,M,[1],199x,RU:,Un,,,,,,
William Demarest,1927-1968,Demarest,William,M,1892,1983,R:character,Am,,,,,,
Derrick deMarney,1935-1966,de Marney,Derrick,M,1906,1978,R:good-looking,Br,,,,,,
Terrence deMarney,1936-1969,de Marney,Terrence,M,1909,1971,RU:,Br,,,,,,
Maria deMadeiros,1990,deMadeiros,Maria,F,,199x,R:gentle,Pg,,,,,,
Cecil B. DeMille,,De Mille,Cecil,M,1881,1959,RU:,Am,,,,,,
Katherine DeMille,1934-1950,Lester,Katherine,F,1911,199x,R:lead,Am,,,,,,
